Date Made Public,Company,City,State,Type of breach,Type of organization,Total Records,Description of incident,Information Source,Source URL,Year of Breach,Latitude,Longitude
01/10/2005,George Mason University,Fairfax,Virginia,HACK,EDU,"32,000","Names, photos, and Social Security numbers of 32,000 students and staff were compromised because of a hacker attack on the University's main ID server.",Dataloss DB,,2005,38.846224,-77.306373
1-18-2005,"University of California, San Diego",San Diego,California,HACK,EDU,"3,500",A hacker breached the security of two University computers that stored the Social Security numbers and names of students and alumni of UCSD Extension.,Dataloss DB,,2005,32.715329,-117.157255
03/08/2005,"DSW Shoe Warehouse, Retail Ventures",Columbus,Ohio,HACK,BSR,"14,00,000","Credit card information from customers in 25 states was compromised. UPDATE (04/19/2005): An additional 
              
              1,300,000 customers were added to the initial estimate of 100,000.UPDATE (08/23/2012): DSW was locked in a dispute with National Union over insurance coverage.  A federal appellate court ruled that DSW was entitled to insurance coverage of more than $6.8 million in stipulated losses and prejudgment interest.",Dataloss DB,,2005,39.961176,-82.998794
03/11/2005,Boston College,Boston,Massachusetts,HACK,EDU,"1,20,000",A hacker gained access to a phone banking database that included alumni addresses and Social Security numbers.,Dataloss DB,,2005,42.358431,-71.059773
3-16-2005,"California State University, Chico",Chico,California,HACK,EDU,"59,000","A university housing and food service computer server containing names and Social Security numbers of faculty, staff, students, former students, and prospective students was hacked.",Dataloss DB,,2005,39.728494,-121.837478
3-20-2005,Northwestern University,Evanston,Illinois,HACK,EDU,"17,500","Hackers gained access to multiple computers and gathered user ID and password information from the University's network.  The personal information for around 500 faculty members, 2000 staff members, and 14,000 alumni was compromised.  ",Media,,2005,42.041141,-87.690059
3-20-2005,"University of Nevada, Las Vegas",Las Vegas,Nevada,HACK,EDU,"5,000",A hacker was caught accessing the University's server and may have gotten information from the Student Exchange and Visitor Information System (SEVIS).,Dataloss DB,,2005,36.114646,-115.172816
3-25-2005,Purdue University,West Lafayette,Indiana,HACK,EDU,"1,200","Computers in the College              of Liberal Arts' Theater Dept. were hacked, exposing personal information              of employees, students, graduates, and business affiliates.",Dataloss DB,,2005,40.425869,-86.908066
04/05/2005,"University of California, Davis",Davis,California,HACK,EDU,"1,100","The names and Social Security 
            numbers of students, faculty, visiting speakers and staff may have 
            been compromised when a hacker accessed a main computer.",Dataloss DB,,2005,38.544907,-121.740517
04/06/2005,"University of California, San Francisco (UCSF)",San Francisco,California,HACK,EDU,"7,000","A server in the accounting 
            and personnel departments was hacked. It contained information on 
            7,000 students, faculty, and staff members. The affected individuals 
            were notified March 23.",Dataloss DB,,2005,37.77493,-122.419416
04/08/2005,Eastern National,Ft. Washington,Pennsylvania,HACK,NGO,"15,000","A hacker gained access to a server containing the names, credit card information, and billing addresses of 15,000 customers.  Letters were mailed to all customers who bought products through the educational website for national parks.",Dataloss DB,,2005,40.13845,-75.191799
04/11/2005,Tufts University,Boston,Massachusetts,HACK,EDU,"1,06,000",The University's donor database was breached sometime in late 2004.  The database was managed by a software company for nonprofit organizations named RuffaloCODY.  Letters were sent to the alumni who may have had their personal information stolen.,Dataloss DB,,2005,42.358431,-71.059773
4-15-2005,"Polo Ralph Lauren, HSBC",New York,New York,HACK,BSR,"1,80,000","Credit card data was stolen. Individuals holding the HSBC-issued General Motors Mastercard were told their cards should be replaced.              UPDATE(07/10/07): U.S. Secret Service 
              agents found Ralph Polo Lauren customers' credit card numbers in 
              the hands of Eastern European cyber thieves who created high-quality 
              counterfeit credit cards. Victims are from the U.S., Europe, Asia 
              and Canada, among other places, Several Cuban nationals in Florida 
              were arrested with more than 200,000 credit card account numbers.",Dataloss DB,,2005,40.714269,-74.005973
4-21-2005,Carnegie Mellon University,Pittsburgh,Pennsylvania,HACK,EDU,"19,000","The compromised information included Social Security numbers and grades from master's alumni classes 1997 through 2004, job offer information from master's alumni classes 1985 through 2004, contact information for all alumni, and Social Security numbers and grades from doctoral students enrolled between 1998 and 2004.  Between 5,000 and 6,000 of those affected had their credit card information and Social Security numbers compromised. Emails and letters were sent to those who were affected.",Dataloss DB,,2005,40.440625,-79.995886
4-26-2005,Michigan State University's Wharton Center,East Lansing,Michigan,HACK,EDU,"40,000",A hacker may have stolen the credit card information of visitors attending a performing arts venue.  Warnings were sent to Wharton visitors who used their credit cards anytime between September of 2003 and the incident.,Dataloss DB,,2005,42.736979,-84.483865
4-28-2005,Georgia Southern University,Stateboro,Georgia,HACK,EDU,"20,000","Hackers accessed a University server which contained thousands of credit card and Social Security numbers collected over three years.  Students who received bookstore credit through scholarship or financial aid between the fall 2003 and spring of 2005 semesters, and anyone who made credit purchases at campus stores, stadium, or website are at risk.  Email alerts were sent to students and alumni.",Dataloss DB,,2005,32.448788,-81.783167
05/05/2005,Purdue University,West Lafayette,Indiana,HACK,EDU,"11,360",Hackers accessed a program which contained University credit card information and the Social Security numbers of current and former employees. Letters were sent to employees and former employees.,Dataloss DB,,2005,40.425869,-86.908066
05/11/2005,Stanford University,Stanford,California,HACK,EDU,"9,900","The University's Career Development Center was hacked. This exposed the names, Social Security numbers, and other personal information of users. Names and credit card information for some employers that registered with the site were also in the database.",Dataloss DB,,2005,37.424106,-122.166076
05/12/2005,Hinsdale Central High School,Hinsdale,Illinois,HACK,EDU,"2,400",Two students were accused of hacking into the School's computer system and stealing student and staff Social Security numbers.  The students had the information for months before being caught.  Letters were sent to affected families. The Social Security Administration and the Federal Trade Commission were also notified.,Dataloss DB,,2005,41.800864,-87.937005
5-18-2005,University of Iowa,Iowa City,Iowa,HACK,EDU,"30,000",A computer containing credit card numbers and campus ID numbers for University Book Store customers was breached by a hacker.,Dataloss DB,,2005,41.661128,-91.530168
5-18-2005,Jackson Community College,Jackson,Michigan,HACK,EDU,"8,000","A hacker may have downloaded the passwords and Social Security numbers of employees and students.  The College sent new, high security passwords to students and employees.",Dataloss DB,,2005,42.245869,-84.401346
5-19-2005,Valdosta State University,Valdosta,Georgia,HACK,EDU,"40,000",A computer server containing campus ID card information and Social Security numbers was hacked. The cards were designed to be used as debit cards by students and employees.,Dataloss DB,,2005,30.832702,-83.278485
06/04/2005,Duke University Medical Center,Durham,North Carolina,HACK,EDU,"14,000","A hacker broke into the computer system, stealing thousands of passwords and fragments of Social Security numbers.  Fourteen thousand affected people were notified, including 10,000 employees of Duke University Medical Center.",Dataloss DB,,2005,35.994033,-78.898619
6-16-2005,CardSystems,Tucson,Arizona,HACK,BSF,"4,00,00,000","Over 40 million card accounts 
            were exposed to potential fraud due to a security breach that occurred 
            at a third-party processor of payment card transactions. Of the more 
            than 40 million accounts exposed, information on 68,000 Mastercard 
            accounts, 100,000 Visa accounts and 30,000 accounts from other card 
            brands are known to have been exported by the hackers. The data exported 
            included names, card numbers and card security codes.UPDATE (2/23/2006) CardSystems agreed to settle Federal Trade Commission charges that it failed to take appropriate security measures to protect sensitive personal information. The company must implement a comprehensive security program and obtain audits every 2 years for 20 years.UPDATE (5/12/2006) CardSystems filed for bankruptcy.UPDATE
            (5/28/2009)

            Merrick Bank has launched a multi-million dollar lawsuit against Savvis, 
            accusing the vendor of erroneously telling it that CardSystems Solutions 
            complied with Visa and MasterCard security regulations less than a 
            year before the payment processor's systems were hacked, compromising 
            up to 40 million credit card accounts. Less than a year later the 
            security breach occurred. Hackers were able to get hold of the data 
            because CardSystems kept unencrypted card information on its servers 
            - in contravention of the regulations for which Savvis certified it. ",Dataloss DB,,2005,32.221743,-110.926479
6-25-2005,University of Connecticut  (UCONN),Storrs,Connecticut,HACK,EDU,"72,000","University officials became aware of an October 26, 2003 hacking incident.  The personal information included Social Security numbers and addresses for students, faculty, and staff.  The University began contacting those affected in June of 2005.",Dataloss DB,,2005,41.808431,-72.249523
07/01/2005,University of California San Diego,La Jolla,California,HACK,EDU,"3,300","A University server was hacked in April.  The server contained Social Security numbers, driver's license numbers, and credit card numbers from people who attended or worked at UCSD Extension between the time of the incident and 2000.  UCSD contacted those who were affected two months after the incident.",Dataloss DB,,2005,33.8575,-117.87556
07/07/2005,Michigan State University,East Lansing,Michigan,HACK,EDU,"27,000","Student information was compromised during an attack on the College of Education server.  The information included Social Security numbers, names, addresses, student courses, and personal identification numbers.  The breach occurred in April and students were emailed in July.",Dataloss DB,,2005,42.736979,-84.483865
7-21-2005,"University of Colorado, Boulder",Boulder,Colorado,HACK,EDU,"49,000","Prospective students, current students, staff, faculty and University health care service recipients may have had their data exposed in a campus server breach.  The information included names, Social Security numbers, addresses, student ID numbers, birth dates, and lab test information. The University mailed letters and sent emails to the individuals affected.UPDATE
            (08/20/2005) The number of students affected was increased from an 
            estimate of 42,000 to 49,000.",Dataloss DB,,2005,40.014986,-105.270546
7-30-2005,San Diego County Employees Retirement Association,San Diego,California,HACK,GOV,"33,000","Two computers that contained personal information for current and retired San Diego County employees were hacked.  The information included names, addresses, Social Security numbers, and dates of birth.  The San Diego Retirement Association mailed warnings to members.",Dataloss DB,,2005,32.715329,-117.157255
7-30-2005,"California State University, Dominguez Hills ",Carson,California,HACK,EDU,"9,613",Hackers accessed several computers containing personal information such as names and Social Security numbers.  The students who were affected were emailed.,Dataloss DB,,2005,33.831406,-118.282017
7-31-2005,California State Polytechnic University (Cal PolyPomona),Pomona,California,HACK,EDU,"31,077","Hackers gained access to two computers containing names, Social Security numbers and transfer records.  Applicants, current students, current and former faculty, and staff were affected.",Dataloss DB,,2005,34.055289,-117.752279
08/02/2005,University of Colorado,Denver,Colorado,HACK,EDU,"36,000","Hackers accessed files containing names, photographs, Social Security numbers, and University meal card information.  Around 7,000 staff members, 29,000 current students, and some former students were affected.",Dataloss DB,,2005,39.739154,-104.984703
08/09/2005,University of Utah,Salt Lake City,Utah,HACK,EDU,"1,00,000",A server containing library archival databases was hacked.  The server included names and Social Security numbers of former University employees.  The University issued a warning that people may try to get personal information by posing as University officials involved in the investigation.,Dataloss DB,,2005,40.760779,-111.891047
08/09/2005,Sonoma State University,Rohnert Park,California,HACK,EDU,"61,709","Hackers broke into a computer system and may have accessed the names and Social Security numbers of people who applied, attended, or worked at the University between 1995 and 2002.  University officials attempted to notify those who were affected.",Dataloss DB,,2005,38.339637,-122.701098
08/10/2005,University of North Texas,Denton,Texas,HACK,EDU,"39,000","A server containing housing records, financial aid inquiries, and in some cases credit card numbers was hacked.  UNT sent letters to current, former, and prospective students whose information may have been accessed.",Dataloss DB,,2005,33.214841,-97.133068
8-17-2005,"California State University, Stanislaus",Turlock,California,HACK,EDU,900,The names and Social Security numbers of student workers were exposed during a hacker attack.  The student workers were contacted by the University.,Dataloss DB,,2005,37.494657,-120.846594
8-19-2005,University of Colorado,Denver,Colorado,HACK,EDU,"49,000","A hacker may have gained access to personal information from June of 1999 to May of 2001, and fall of 2003 to summer of 2005.  The information included current and former student names, Social Security numbers, addresses and phone numbers.  The University contacted individuals who were affected.",Dataloss DB,,2005,39.739154,-104.984703
8-22-2005,U.S. Air Force,Washington,District Of Columbia,HACK,GOV,"33,300","A hacker used a legitimate user ID and password to access career information, birth dates, and Social Security numbers.  Those affected were notified several months after the breach was discovered.",Dataloss DB,,2005,38.895112,-77.036366
8-30-2005,"California State University, Chancellor's Office ",Long Beach,California,HACK,EDU,154,A computer virus attack exposed names and Social Security numbers. Those affected included two financial aid administrators and 152 students enrolled at various Cal State Universities.  Those affected were contacted.,Dataloss DB,,2005,33.766962,-118.189235
9-29-2005,University of Georgia,Athens,Georgia,HACK,EDU,"1,600","A hacker may have accessed the names and Social Security numbers of at least 1,600 people working for the College of Agricultural and Environmental Sciences.  The University is attempting to contact individuals who may have been affected.",Dataloss DB,,2005,33.960948,-83.377936
11/11/2005,Scottrade Troy Group,Santa Ana,California,HACK,BSF,0,"A hacker compromised a server containing names, Social Security numbers, driver's licenses, state ID numbers, dates of birth, phone numbers, bank names, bank codes, bank account numbers and Scottrade account numbers.  Scottrade alerted all affected customers.",Dataloss DB,,2005,33.745573,-117.867834
11-18-2005,Indiana University Kelley School of Business,Indianapolis,Indiana,HACK,EDU,"5,278","A hacker may have accessed the names, Social Security numbers and grades of students who enrolled in Introduction to Business courses between 2001 and 2005.  The computer may have been hacked and installed with malware as early as August.  A representative believes the breach occurred because the files were stored on a computer that did not have current anti-virus and system-protection software.",Dataloss DB,,2005,39.768377,-86.158042
11-23-2005,University of Delaware,Newark,Delaware,HACK,EDU,952,"Two separate departments were breached by hacking within a short period of time.  A School of Education computer with the names and Social Security numbers of 772 students registered in online education courses was attacked in late August.  A Department of English computer that had the Social Security numbers of 180 faculty, graduate assistant and other teaching staff from the department was also hacked in August.  The larger breach appears to be the result of someone attempting to establish an illegal movie sharing system.  The smaller breach was a possible attempt to log onto and control one server in order to gain control over servers of other campuses.  Those affected received notification and Social Security numbers have been removed from both servers.",Dataloss DB,,2005,39.683723,-75.749657
12/01/2005,University of San Diego,San Diego,California,HACK,EDU,"7,800","Hackers gained access to computers containing personal income tax data, including Social Security numbers, names, and addresses.  Faculty members, students and vendors had their information compromised and were notified by the University.",Dataloss DB,,2005,32.715329,-117.157255
12/02/2005,Cornell University,Ithaca,New York,HACK,EDU,900,"The University discovered a security breach last summer that exposed names, addresses, 
            Social Security numbers, bank names and account numbers.",Dataloss DB,,2005,42.440628,-76.496607
12/07/2005,"Idaho State University, Office of Institutional Research ",Pocatello,Idaho,HACK,EDU,0,"ISU discovered a security 
            breach in a server containing archival information about students, 
            faculty, and staff, including names, Social Security numbers, birth dates, and grades. Anyone who was a student or employee between 1995 and 2005 could be affected.",Dataloss DB,,2005,42.871303,-112.445534
12/12/2005,Iowa State University,Ames,Iowa,HACK,EDU,"5,500","At least one ISU computer was hacked. Social Security numbers and encrypted credit card numbers may have been obtained. Between 2,000 and 2,500 Social Security numbers are at risk and between 2,300 and 3,000 credit card numbers are at risk. Student, alumni, employee and volunteer information was put at risk. ",Dataloss DB,,2005,42.02335,-93.625622
12-20-2005,"Guidance Software, Inc.            ",Pasadena,California,HACK,BSO,"3,800","A hacked database exposed credit card numbers of law enforcement officials and network security professionals.  The company is a leading provider of software used to diagnose hacked attacks.UPDATE
            (4/3/07): The FTC came to a settlement agreement and final 
            consent order against Guidance Software.",Dataloss DB,,2005,34.147785,-118.144516
1-20-2006,"Indiana University, University Place Conference Center & Hotel",Indianapolis,Indiana,HACK,BSO,0,The computer housing the reservations data base was compromised. Data included credit card account numbers and names.,Security Breach Letter,,2006,39.767016,-86.156255
1-23-2006,University of Notre Dame,Notre Dame,Indiana,HACK,EDU,0,"Hackers may have accessed Social Security numbers, credit card information and check images of people who donated to the University between November 22 of 2005 and January 12 of 2006.",,,2006,41.700191,-86.237933
2-15-2005,ChoicePoint,Alpharetta,Georgia,INSD,BSO,"1,63,000","Fraudsters who presented themselves as legitimate ChoicePoint customers purchased data profiles from ChoicePoint on individuals and used that data to commit identity theft. The initial number of affected records was estimated at 145,000 
                but was later revised to 163,000. 

                UPDATE(1/26/06): 
                ChoicePoint settled with the Federal 
                Trade Commission for $10 million in civil penalties and $5 
                million for consumer redress.
                UPDATE (12/06/06): 
                The FTC 
                announced that victims of identity theft as a result of the 
                data breach who had out-of-pocket expenses can now be reimbursed. 
                The claims deadline is Feb. 4, 2007.
                UPDATE (06/24/07): 
                Starting Dec. 2006, the FTC began mailing claims forms to victims 
                of the breach. Its Web 
                site provides information about the claims process. Deadline 
                is Aug. 18, 2007. Victims can be reimbursed for out-of-pocket 
                expenses resulting from identity theft connected to the breach. 
                Call (888) 884-8772, or email cpredress@ftc.gov. 

                UPDATE (11/04/07): 
                Since its 2005 data security incident, ChoicePoint has implemented 
                enhancements to its privacy and information security framework 
                including the establishment of an Office of Privacy, Ethics and 
                Compliance to reinforce the responsible use and protection of 
                information at ChoicePoint through policies and procedures, audit 
                and compliance, and outreach and education. Visit www.privacyatchoicepoint.com.
                UPDATE (1/27/08): 
                Has agreed to pay $10 million to settle a class action lawsuit",Security Breach Letter,,2005,34.075376,-84.29409
2-18-2005,University of Chicago Hospital,Chicago,Illinois,INSD,MED,85,The FBI launched an investigation into possible fraud by at least one hospital employee. As many as 85 patients may have been affected.  The hospital contacted all affected patients.,Dataloss DB,,2005,41.850033,-87.650052
03/10/2005,LexisNexis,Dayton,Ohio,INSD,BSO,"3,10,000","Unauthorized individuals used IDs and passwords of legitimate 
customers to obtain consumers' Social Security numbers, driver's license
 numbers, and names and addresses. 




     Most of the breaches were at the company's subsidiary 
Seisint Inc., based in Florida. UPDATE (4/12/05) An internal investigation at LexisNexis has uncovered evidence that an additional 280,000 records may have been involved in this breach, increasing the total from 30,000 to 310,000.UPDATE
            (06/30/06): Five men were arrested in connection with this 
            breach.",Dataloss DB,,2005,39.758948,-84.191607
4-28-2005,"Wachovia, Bank of America, PNC Financial Services Group and Commerce Bancorp ",Hackensack,New Jersey,INSD,BSF,"6,76,000",Bank employees illegally sold account information to someone posing as a collection agency.  Customers affected were notified and received one year of free credit monitoring services.,Dataloss DB,,2005,40.885933,-74.043474
5-14-2005,Georgia Technology Authority (GTA),Atlanta,Georgia,INSD,GOV,"4,65,000","A former computer programmer for Georgia Technology Authority downloaded state driver's license information which contained names, addresses, driver's license numbers, and in some cases Social Security numbers.",Dataloss DB,,2005,33.748995,-84.387982
5-16-2005,Westborough Bank,Westborough,Massachusetts,INSD,BSF,750,A former employee who ran an investment program from 1998 to 2001 may have given Social Security numbers and account information to a convicted felon known for defrauding senior citizens.  The bank mailed warning letters.,Dataloss DB,,2005,42.269539,-71.616178
5-28-2005,Merlin Information Services,Kalispell,Montana,INSD,BSO,"5,875","An individual fraudulently obtained personal information about thousands of victims 
from Merlin Information Services and used that information to commit 
identity theft by opening up credit card accounts. He posed as a private investigator, thus giving Merlin the impression that he was a legitimate user of their services. He conducted at least 1,873 queries through the Merlin system to 
obtain information on approximately 5,875 people.

",Media,,2005,48.200531,-114.315102
6-18-2005,University of Hawai'i,Honolulu,Hawaii,INSD,EDU,"1,50,000","A former librarian with access to the personal information of students, faculty, staff and patrons was convicted of Social Security fraud.  The former librarian used Social Security information to obtain fraudulent loans.  The University used Social Security numbers to track who checked out library materials. At the time of the press release it was unclear whether any information had been stolen from the University.",Dataloss DB,,2005,21.306944,-157.858333
6-29-2005,Medica Health Plans,Minnetonka,Minnesota,INSD,MED,0,It was discovered that two employees had engaged in unauthorized activities for an extended period of time.  The computer administrators were fired for sabotaging the company's computers and downloading data.  Sensitive information for 1.2 million Medica members may have been accessed.  The former employees prolonged their activities and avoided heavier punishment by hiding and destroying evidence of their activities. ,Dataloss DB,,2005,44.913297,-93.503288
9-28-2005,RBC Dain Rauscher,Minneapolis,Minnesota,INSD,BSF,"3,00,000","Someone claiming to be a former employee obtained customer names, addresses, tax ID number, birth date and Dain Rauscher account number.  The former employee sent letters to over 100 customers and claimed that their personal information had been sold in retaliation against the company.",Dataloss DB,,2005,44.979965,-93.263836
1-16-2006,New York City Teachers Retirement System,New York,New York,INSD,GOV,"5,800","A dishonest employee and two others were arrested for their part in writing and cashing fraudulent checks.  Police found fraudulent checks with the names of 19 pension members and beneficiaries in the apartment of the former employee.  The employee was originally hired as a temp and had worked for the company for three years.  He had access to the information of 5,800 pension members.",Dataloss DB,,2006,40.714353,-74.005973
1-17-2006,"City of San Diego, Water & Sewer Department",San Diego,California,INSD,GOV,0,"A dishonest employee accessed 
            customer account files, including Social Security numbers, and stole the identities of two individuals.",Media,,2006,32.715329,-117.157255
2-16-2006,Blue Cross and Blue Shield,Jacksonville,Florida,INSD,MED,"27,000","A contractor sent names 
            and Social Security numbers of current and former employees, vendors 
            and contractors to his home computer in violation of company policies.  A 
            judge ordered the former computer consultant to reimburse the 
            Jacksonville-based health insurer $580,000 for expenses related to 
            his theft.",Dataloss DB,,2006,30.332184,-81.655651
2-17-2006,"California Department of Corrections, Pelican Bay State Prison",Sacramento,California,INSD,GOV,0,"Inmates gained access to 
            files stored in a warehouse.  The files contained employees' Social Security numbers, birth dates and 
            pension account information.",Dataloss DB,,2006,38.581572,-121.4944
3-14-2006,General Motors (GM),Detroit,Michigan,INSD,BSO,100,"A former security guard kept 
            Social Security numbers of co-workers to perpetrate identity theft. The disgruntled former employee sent harassing emails to employees after gaining access to personal information including the types of cars they drove. ",Dataloss DB,,2006,42.331427,-83.045754
04/06/2006,Progressive Casualty Insurance,Mayfield Village,Ohio,INSD,BSF,13,"A dishonest insider accessed 
            confidential information, including names, Social Security numbers, 
            birth dates and property addresses on foreclosure properties she was 
            interested in buying.",Dataloss DB,,2006,39.49478,-84.37272
4-13-2006,Fifth Third Bank,Evansville,Indiana,INSD,BSF,"1,000","An employee was able to gain access to around 1,000 customer accounts.  He used this information to stalk and harass female news celebrities.  He now faces two felony counts of attempting to defraud using personal information and two misdemeanor counts of stalking and repeated harassment.",Dataloss DB,,2006,37.974764,-87.555848
4-14-2006,NewTech Imaging,Honolulu,Hawaii,INSD,BSO,"40,000","Records containing the 
            names, Social Security numbers and birth dates of more than 40,000 
            members of Voluntary Employees Benefit Association of Hawaii were illegally 
            reproduced at a copying business before they were to be put onto a 
            compact disc for the State. Police later found the data on a computer 
            that had been confiscated as part of a drug investigation.  Those who were on the list and Hawaii Government Employees Association and United Public Workers members who were enrolled in union-sponsored health and group life insurance plans between July and December 1999 were warned.  Investigators were only able to speculate that the theft may have occurred in February of 2005.",Dataloss DB,,2006,21.306944,-157.858333
05/02/2006,Countrywide Home Loans,Plano,Texas,INSD,BSF,90,A former employee is suspected of ordering customer credit reports and providing some of those reports to a third party.,Dataloss DB,,2006,33.019843,-96.698886
5-18-2006,"American Red Cross, St. Louis Chapter ",St. Louis,Missouri,INSD,NGO,"10,00,000","A dishonest employee had access 
            to Social Security numbers of donors.  The database was used to call previous donors and urge them to give blood 
            again. The employee misused the personal information of at least three 
            people to perpetrate identity theft and had access to the personal 
            information of one million donors.",Dataloss DB,,2006,38.646991,-90.224967
5-23-2006,Mortgage Lenders Network USA,Middletown,Connecticut,INSD,BSF,"2,31,000","A former employee was arrested 
            for extortion for attempting to blackmail his former employer for 
            $6.9 million. He threatened to expose company files containing sensitive 
            customer information - including customers' names, addressess, Social 
            Security numbers, loan numbers, and loan types - if the company didn't 
            pay him. He stole the files over the 16 months he worked there.",Dataloss DB,,2006,41.562321,-72.650649
06/06/2006,Empire State College,Saratoga Springs,New York,INSD,EDU,16,"On December 15 of 2005, an intruder installed key-logger was discovered on a computer that had been used to access Social Security numbers.  The keystroke capture program was installed by a relative of an employee in order to capture and read email messages that the staff member was sending.  The program was in operation from March 2004 to January 2005 and again from October 2005 to December 15.  The affected PC was removed from the office and had its hard drive scanned and cleaned.",Dataloss DB,,2006,43.08313,-73.784565
7-13-2006,"New York State Department of Motor Vehicles (DMV), New York State Thruway Authority",,New York,INSD,GOV,57,"A Thruway employee performed searches of DMV records without authorization.  The discovery was made on December 27, but the length of time this employee engaged in the behavior was not reported.  The employee had access to all the information contained on driver's licenses.",Dataloss DB,,2006,40.714353,-74.005973
7-29-2006,Sentry Insurance,Stevens Point,Wisconsin,INSD,BSF,"1,12,270","Personal information including 
            SSNs on worker's compensation claimants was stolen, some of which 
            was later sold on the Internet. At least 72 claimants of the 112,270 who may have had their information accessed had their information sold.  No medical records were included. 
            The thief was a lead programmer-consultant who had access to claimants' 
            data. The consultant was arrested and faces felony charges.",Dataloss DB,,2006,44.523579,-89.574563
08/07/2006,U.S. Department of Veterans Affairs via contractor Unisys Corporation,Reston,Virginia,INSD,GOV,"5,000","A computer at contractor's 
            office was reported missing Aug. 3.  It contained billing records with 
            names, addresses, SSNs, and dates of birth of veterans at two Pennsylvania 
            locations.  UPDATE (9/15/06): 
            Law enforcement recovered the computer and arrested an individual 
            who had worked for a company that provides temporary labor to Unisys.",Dataloss DB,,2006,38.968721,-77.341096
08/11/2006,Madrona Medical Group,Bellingham,Washington,INSD,MED,"6,000","On Dec. 17, 2005, a former 
            employee accessed and downloaded patient files onto his laptop computer. 
            Files included name, address, SSN, and date of birth. The former employee 
            has since been arrested.",Dataloss DB,,2006,48.759553,-122.488225
8-15-2006,New Century Mortgage Corporation,Irvine,California,INSD,BSF,0,"On August 10, a former employee was found to have copied and disseminated customer information to unknown third parties.  The information included names, addresses and Social Security numbers.",Dataloss DB,,2006,33.683947,-117.794694
09/09/2006,Cleveland Clinic,Naples,Florida,INSD,MED,"1,100","A clinic employee stole 
            personal information from electronic files and sold it to her cousin, 
            owner of Advanced Medical Claims, who used it to file fraudulent Medicare 
            claims totaling more than $2.8 million. Information included names, 
            SSNs, birthdates, addresses and other details. Both individuals were 
            indicted.",Dataloss DB,,2006,26.142036,-81.79481
9-15-2006,Columbia University,New York,New York,INSD,EDU,"1,132","A temporary employee accessed the personal information of some University employees and used it to establish at least one fraudulent account.  The former temp had access to the names, Social Security numbers, addresses, telephone numbers and direct deposit bank account information of a group of employees.  The University discovered the breach on August 15 and began notifying affected individuals on August 18.",Dataloss DB,,2006,40.714353,-74.005973
9-28-2006,Stevens Hospital Emergency Room via dishonest employee of billing company Med Data,Edmonds,Washington,INSD,MED,30,"A manager for the hospital's 
            billing company, Med Data, stole patients' credit card numbers. She 
            gave them to her brother who bought $30,000 worth of clothes and gift 
            cards over the Internet. The woman is scheduled for sentencing in 
            Nov. and her brother's trial is expected Jan. 2007.",Dataloss DB,,2006,47.810652,-122.377355
10-25-2006,"Swedish Medical Center, Ballard Campus  ",Seattle,Washington,INSD,MED,"1,100","An employee stole the names, 
            birthdates, and Social Security numbers from patients who were hospitalized 
            or had day-surgeries from June 22 to Sept 21. She used 3 patients' 
            information to open multiple credit accounts.",Dataloss DB,,2006,47.60621,-122.332071
10-30-2006,National Financial Partners (NFP),New York,New York,INSD,BSF,"4,327","A former payroll department employee may have had access to former and current employee information.  The information included Social Security numbers, addresses and birth dates.  The employee was not authorized to view the information.  It is unclear if the employee still had access to the electronic files after termination.",Dataloss DB,,2006,40.714353,-74.005973
11/02/2006,Compulinx,White Plains,New York,INSD,BSO,50,"The CEO of Compulinx was 
            arrested for fraudulently using employees' names, addresses, Social 
            Security numbers and other personal information for credit purposes. 
            (It is unclear whether customers' data was also used).",Media,,2006,41.033986,-73.76291
11/03/2006,Several Joliet area motels,Joliet,Illinois,INSD,BSO,0,"Motel owners and employees 
            allegedly stole and sold customers' credit card numbers.",Media,,2006,41.525031,-88.081725
11/11/2006,"Hertz Global Holdings, Inc.",Oklahoma City,Oklahoma,INSD,BSO,0,"The names and Social Security 
            numbers of Hertz employees dating back to 2002 were discovered on 
            the home computer of a former employee.",Dataloss DB,,2006,35.46756,-97.516428
11-15-2006,Expedia Corporate Travel (now Egencia),Bellevue,Washington,INSD,BSO,47,A former call center employee somehow gained access to credit card numbers and may have misused the information.  The former employee attempted to make unauthorized charges at least twice.  The discovery was made on October 24.,Dataloss DB,,2006,47.610377,-122.200679
11-20-2006,Haywood Mortgage Associates Inc.,Bethesda,Maryland,INSD,BSF,228,"A former employee is believed to have downloaded confidential client information to a USB device shortly before leaving the company.  Client names, Social Security numbers, addresses, dates of birth, driver's license numbers, credit card account numbers, mortgage loan account numbers, auto and personal loan numbers, employment information and credit reports could have been taken.  The incident occurred sometime around September 7.  Clients were notified on January 8 of 2007.",Dataloss DB,,2006,38.980666,-77.100256
11-29-2006,Gundersen Lutheran Medical Center,LaCrosse,Wisconsin,INSD,MED,0,"A Medical Center employee 
            used patient information, including SSNs and dates of birth, to apply 
            for credit cards in their names. As patient liaison, her duties included 
            insurance coverage, registration, and scheduling appointments. She 
            was arrested for 37 counts of identity theft, and was convicted of 
            identity theft and uttering forged writing, according to the criminal 
            complaint.",Media,,2006,43.801356,-91.239581
08/04/2005,Anderson College,Anderson,North Carolina,PHYS,EDU,800,A bag with student resident hall assignments was found on campus.  The paperwork also had the students' Social Security numbers.  The documents were destroyed and a new program that will prevent unauthorized faculty and staff from accessing student Social Security numbers was developed.,Dataloss DB,,2005,36.267081,-79.345299
